n_estimators,max_depth,learning_rate,mean_mae,model
300,8,0.05,0.13817,LightGBM
300,6,0.05,0.13817,LightGBM
100,8,0.1,0.13889,LightGBM
100,6,0.1,0.13889,LightGBM
200,4,0.05,0.13902,LightGBM
200,8,0.05,0.13902,LightGBM
100,8,0.05,0.13934,LightGBM
200,4,0.01,0.14119,LightGBM
200,4,0.01,0.14119,LightGBM
200,4,0.01,0.14119,LightGBM
300,8,0.05,0.0004,XGBoost
200,6,0.1,0.00043,XGBoost
300,4,0.1,0.00053,XGBoost
200,4,0.1,0.00053,XGBoost
300,4,0.05,0.00056,XGBoost
100,4,0.1,0.001,XGBoost
200,4,0.05,0.00106,XGBoost
100,8,0.05,0.00487,XGBoost
100,4,0.05,0.00867,XGBoost
100,6,0.01,0.0767,XGBoost
