model,n_rnn_layers,hidden_dim,dropout,n_epochs,mean_mae,mean_rmse
GRU,1,128,0.2,30,0.14561,0.17801
GRU,1,128,0.1,20,0.1508,0.18326
GRU,1,128,0.2,10,0.15775,0.19574
GRU,1,128,0.3,10,0.15775,0.19574
GRU,1,128,0.3,10,0.15775,0.19574
GRU,1,128,0.3,10,0.15775,0.19574
GRU,1,64,0.2,20,0.16018,0.19462
GRU,1,32,0.2,20,0.16759,0.1976
GRU,1,64,0.2,10,0.17309,0.20641
GRU,1,32,0.1,10,0.23669,0.27464
LSTM,1,128,0.3,30,0.14134,0.17234
LSTM,1,64,0.1,30,0.15181,0.1858
LSTM,1,128,0.3,20,0.15226,0.18363
LSTM,1,32,0.2,30,0.15484,0.18985
LSTM,1,32,0.1,30,0.15484,0.18985
LSTM,1,32,0.2,20,0.15846,0.19171
LSTM,1,32,0.3,20,0.15846,0.19171
LSTM,1,128,0.1,10,0.16017,0.19845
LSTM,1,64,0.2,10,0.17478,0.20869
LSTM,1,64,0.1,10,0.17478,0.20869
